,epoch,fitness_estimate,crossover_used,pop_gen_used,im_size
130,13000,30.1889713554,crossover_1,random_image_array_1,"(305,264)"
131,13100,30.1322791969,crossover_1,random_image_array_1,"(305,264)"
132,13200,30.0949180566,crossover_1,random_image_array_1,"(305,264)"
133,13300,30.0949180566,crossover_1,random_image_array_1,"(305,264)"
134,13400,30.0732057929,crossover_1,random_image_array_1,"(305,264)"
135,13500,30.0653288989,crossover_1,random_image_array_1,"(305,264)"
136,13600,29.9571352088,crossover_1,random_image_array_1,"(305,264)"
137,13700,29.9569958271,crossover_1,random_image_array_1,"(305,264)"
138,13800,29.8942019533,crossover_1,random_image_array_1,"(305,264)"
139,13900,29.892629639,crossover_1,random_image_array_1,"(305,264)"
140,14000,29.8345035307,crossover_1,random_image_array_1,"(305,264)"
141,14100,29.8143759812,crossover_1,random_image_array_1,"(305,264)"
142,14200,29.806801094,crossover_1,random_image_array_1,"(305,264)"
143,14300,29.8035963867,crossover_1,random_image_array_1,"(305,264)"
144,14400,29.7950661661,crossover_1,random_image_array_1,"(305,264)"
145,14500,29.7950661661,crossover_1,random_image_array_1,"(305,264)"
146,14600,29.7710304955,crossover_1,random_image_array_1,"(305,264)"
147,14700,29.7418477396,crossover_1,random_image_array_1,"(305,264)"
148,14800,29.7344982424,crossover_1,random_image_array_1,"(305,264)"
149,14900,29.7344982424,crossover_1,random_image_array_1,"(305,264)"
150,14999,29.7344982424,crossover_1,random_image_array_1,"(305,264)"
